,branch,quartet_type,t1,t2,m_gts,n_gts,mu3,mu2,mu1,mua,mub,muc,mud,l_theory,l_simplified,l_empirical,gene_type
1499,terminal D,unbalanced,1.2396957406,0.1587042528,8118,1882,0.000489148969267701,0.00080846479382056,0.00029032595932119304,0.000381926928186015,0.000468372191339912,0.000547901173025451,0.000249731945676571,0.14032036843408055,0.16662111129383886,0.14274468250265676,non-matching
1500,internal,unbalanced,1.4679767991000001,1.8507605017,8463,1537,6.8025432927452e-05,0.000148330597042966,0.000114595157857934,0.000104218812480484,0.00010070144509944998,0.00015950350028693598,0.000122301485543406,0.02297072159713183,0.024288284894282888,0.022762137118043247,matching
1501,internal,unbalanced,1.4679767991000001,1.8507605017,8463,1537,6.8025432927452e-05,0.000148330597042966,0.000114595157857934,0.000104218812480484,0.00010070144509944998,0.00015950350028693598,0.000122301485543406,0.012956029685956008,0.0148330597042966,0.013259808327911515,non-matching
1502,terminal A,unbalanced,1.4679767991000001,1.8507605017,8463,1537,6.8025432927452e-05,0.000148330597042966,0.000114595157857934,0.000104218812480484,0.00010070144509944998,0.00015950350028693598,0.000122301485543406,0.014915589600972572,0.014915733649300836,0.014915865162471937,matching
1503,terminal A,unbalanced,1.4679767991000001,1.8507605017,8463,1537,6.8025432927452e-05,0.000148330597042966,0.000114595157857934,0.000104218812480484,0.00010070144509944998,0.00015950350028693598,0.000122301485543406,0.03531594459140351,0.03628322533916607,0.036467719401431356,non-matching
1504,terminal B,unbalanced,1.4679767991000001,1.8507605017,8463,1537,6.8025432927452e-05,0.000148330597042966,0.000114595157857934,0.000104218812480484,0.00010070144509944998,0.00015950350028693598,0.000122301485543406,0.014675964481364445,0.01467610852969271,0.014623124449958644,matching
1505,terminal B,unbalanced,1.4679767991000001,1.8507605017,8463,1537,6.8025432927452e-05,0.000148330597042966,0.000114595157857934,0.000104218812480484,0.00010070144509944998,0.00015950350028693598,0.000122301485543406,0.03507631947179538,0.03604360021955794,0.03750100867924528,non-matching
1506,terminal C,unbalanced,1.4679767991000001,1.8507605017,8463,1537,6.8025432927452e-05,0.000148330597042966,0.000114595157857934,0.000104218812480484,0.00010070144509944998,0.00015950350028693598,0.000122301485543406,0.04824269730656031,0.049562798584710306,0.04785212156682028,matching
1507,terminal C,unbalanced,1.4679767991000001,1.8507605017,8463,1537,6.8025432927452e-05,0.000148330597042966,0.000114595157857934,0.000104218812480484,0.00010070144509944998,0.00015950350028693598,0.000122301485543406,0.03924465268720586,0.03922547552814435,0.04002491323357189,non-matching
1508,terminal D,unbalanced,1.4679767991000001,1.8507605017,8463,1537,6.8025432927452e-05,0.000148330597042966,0.000114595157857934,0.000104218812480484,0.00010070144509944998,0.00015950350028693598,0.000122301485543406,0.07601495085462755,0.09075747835469414,0.07457080745952974,matching
1509,terminal D,unbalanced,1.4679767991000001,1.8507605017,8463,1537,6.8025432927452e-05,0.000148330597042966,0.000114595157857934,0.000104218812480484,0.00010070144509944998,0.00015950350028693598,0.000122301485543406,0.0720881212840996,0.08626174170696349,0.07281843882888744,non-matching
1510,internal,balanced,0.7074375452,1.2008515372,9049,951,0.000144833463266454,0.000305401720146316,0.000221361647778994,0.00025993099751187,1.6429080929682e-05,0.000204067534653548,0.00017116577595707,0.04210899996548653,0.0210887295611153,0.041900830991269754,matching
1511,internal,balanced,0.7074375452,1.2008515372,9049,951,0.000144833463266454,0.000305401720146316,0.000221361647778994,0.00025993099751187,1.6429080929682e-05,0.000204067534653548,0.00017116577595707,0.014483346326645401,0.014483346326645401,0.014980965636172449,non-matching
1512,terminal A,balanced,0.7074375452,1.2008515372,9049,951,0.000144833463266454,0.000305401720146316,0.000221361647778994,0.00025993099751187,1.6429080929682e-05,0.000204067534653548,0.00017116577595707,0.10239037387574033,0.1055966448663047,0.10171511194938666,matching
1513,terminal A,balanced,0.7074375452,1.2008515372,9049,951,0.000144833463266454,0.000305401720146316,0.000221361647778994,0.00025993099751187,1.6429080929682e-05,0.000204067534653548,0.00017116577595707,0.11089942261301299,0.11600130158051565,0.1133674741535226,non-matching
1514,terminal B,balanced,0.7074375452,1.2008515372,9049,951,0.000144833463266454,0.000305401720146316,0.000221361647778994,0.00025993099751187,1.6429080929682e-05,0.000204067534653548,0.00017116577595707,0.02221584705470497,0.02542211804526932,0.022386668226323354,matching
1515,terminal B,balanced,0.7074375452,1.2008515372,9049,951,0.000144833463266454,0.000305401720146316,0.000221361647778994,0.00025993099751187,1.6429080929682e-05,0.000204067534653548,0.00017116577595707,0.030724895791977614,0.03582677475948028,0.030827205436382753,non-matching
1516,terminal C,balanced,0.7074375452,1.2008515372,9049,951,0.000144833463266454,0.000305401720146316,0.000221361647778994,0.00025993099751187,1.6429080929682e-05,0.000204067534653548,0.00017116577595707,0.07977182651037272,0.08307843111542729,0.07982701373853465,matching
1517,terminal C,balanced,0.7074375452,1.2008515372,9049,951,0.000144833463266454,0.000305401720146316,0.000221361647778994,0.00025993099751187,1.6429080929682e-05,0.000204067534653548,0.00017116577595707,0.10345130932117286,0.11415585977983031,0.1081496052471083,non-matching
1518,terminal D,balanced,0.7074375452,1.2008515372,9049,951,0.000144833463266454,0.000305401720146316,0.000221361647778994,0.00025993099751187,1.6429080929682e-05,0.000204067534653548,0.00017116577595707,0.07056213578250643,0.073868740387561,0.070589177555531,matching
