Bees,Birds,Mammals,Fungi,Plants,Eudicots,Bacterial (core),Bacterial (non-ribosomal),Bacterial (WoL)
,1.12669903,,,,,,,2.129702465
,0.91930815,,,,,,,44988.85675
,0.95645646,,,,,,,20.54370934
,0.92669928,,,,,,,77753.02804
,0.61818182,,,,,,,142.1188457
,0.91759059,,,,,,,14.85048587
,0.85011346,,,,,,,6.908835905
,1.79903148,,,,,,,2.794284137
,0.92760615,,,,,,,0.72063289
,1.14254386,,,,,,,3.898319168
,0.52460106,,,,,,,0.778961689
,0.46999221,,,,,,,6.406499961
,0.60829844,,,,,,,0.92667105
,0.7185022,,,,,,,2.083959058
,0.60867326,,,,,,,0.231671554
,0.87963287,,,,,,,0.483267158
,0.5349081,,,,,,,2.241947058
,0.93890075,,,,,,,0.254777478
,0.81003251,,,,,,,4742.464017
,0.92995878,,,,,,,42.27525314
,0.92001675,,,,,,,2.658043508
,0.89732143,,,,,,,0.983027995
,0.93254021,,,,,,,2.241194541
,1.37752809,,,,,,,3.418220728
,0.13123845,,,,,,,3.003545246
,0.93045113,,,,,,,3.995556719
,1.34836066,,,,,,,2.188264311
,0.93017334,,,,,,,3.39326983
,0.53351955,,,,,,,4.253866083
,0.86816346,,,,,,,3.562346905
,0.91576607,,,,,,,555.3992178
,0.85961921,,,,,,,15.42012487
,0.83379501,,,,,,,10.88575584
,0.91013584,,,,,,,2.382653125
,0.89920107,,,,,,,4.971285257
,1.19109063,,,,,,,72.16060535
,0.91242945,,,,,,,0.356209256
,1.00084531,,,,,,,1.029735936
,0.91462451,,,,,,,0
,0.9089882,,,,,,,0
,0.94798639,,,,,,,0.344815696
,0.93638915,,,,,,,3826.123965
,0.79616408,,,,,,,2.136445936
,0.91753421,,,,,,,0.222641986
,0.91557142,,,,,,,0.627667293
,0.88673648,,,,,,,2.349558818
,0.93755039,,,,,,,7.774137539
,0.88188073,,,,,,,48381.18084
,0.92265599,,,,,,,51055.86938
,0.94768528,,,,,,,13.18367483
,0.94055395,,,,,,,77.08922106
,0.81338028,,,,,,,2.723703733
,0.76116215,,,,,,,2.809830501
,0.92090711,,,,,,,0.311348314
,0.89544293,,,,,,,3.137505709
,0.81245585,,,,,,,0.653101393
,0.87767531,,,,,,,9.777733468
,0.90914439,,,,,,,155.0387597
,0.88318368,,,,,,,119.3191788
,0.83371903,,,,,,,0.051074684
,0.40772459,,,,,,,1.165140126
,0.92583549,,,,,,,1.902888846
,0.91706788,,,,,,,2.738594298
,0.98464164,,,,,,,1.296028877
,0.89528844,,,,,,,4.896265083
,1.21237864,,,,,,,124.5840749
,0.90878466,,,,,,,123.4233537
,1.14138074,,,,,,,0.155077543
,0.93145789,,,,,,,27.83101493
,0.97768906,,,,,,,155.6696297
,0.88708296,,,,,,,4.343582624
,0.9075936,,,,,,,3.460099995
,0.83610238,,,,,,,0.443099239
,0.94464501,,,,,,,3.428510794
,0.93665312,,,,,,,8.098995775
,1.24965517,,,,,,,9.968609939
,0.93678526,,,,,,,2.828255543
,1.08799172,,,,,,,3.628078236
,0.86496138,,,,,,,129.3167352
,0.87409771,,,,,,,11.20735501
,0.32473439,,,,,,,3.54647733
,0.12476592,,,,,,,0.429501077
