Dataset,Branch Type,l1/l2
Fungi,terminal,0.953234006
Fungi,terminal,0.949581418
Fungi,terminal,0.924205787
Fungi,terminal,0.917966586
Fungi,terminal,0.906443186
Fungi,terminal,0.831616082
Fungi,internal,0.785567627
Fungi,internal,0.700646647
Fungi,internal,0.693314882
Fungi,terminal,0.387679458
Eudicots,internal,6.218535994
Eudicots,internal,3.588802908
Eudicots,internal,2.084810769
Eudicots,internal,1.854511307
Eudicots,internal,1.799749042
Eudicots,internal,1.794524633
Eudicots,internal,1.674171656
Eudicots,internal,1.639296241
Eudicots,internal,1.627166089
Eudicots,internal,1.542114036
Eudicots,internal,1.48870663
Eudicots,internal,1.443633889
Eudicots,internal,1.340848308
Eudicots,terminal,1.281378388
Eudicots,terminal,1.247603462
Eudicots,internal,1.238180358
Eudicots,internal,1.235308821
Eudicots,terminal,1.186640435
Eudicots,terminal,1.182222572
Eudicots,terminal,1.165619627
Eudicots,internal,1.161460168
Eudicots,internal,1.154402993
Eudicots,terminal,1.148572408
Eudicots,terminal,1.137626576
Eudicots,internal,1.136229093
Eudicots,internal,1.115583144
Eudicots,terminal,1.093696369
Eudicots,terminal,1.093432087
Eudicots,internal,1.065328797
Eudicots,terminal,1.059362531
Eudicots,terminal,1.038588571
Eudicots,terminal,1.037062044
Eudicots,terminal,1.028995642
Eudicots,terminal,1.025801095
Eudicots,terminal,1.016237861
Eudicots,terminal,1.012048545
Eudicots,terminal,1.00321319
Eudicots,internal,1.000458639
Eudicots,terminal,0.998323604
Eudicots,terminal,0.997244265
Eudicots,terminal,0.975928783
Eudicots,internal,0.962956369
Eudicots,terminal,0.917540915
Eudicots,terminal,0.904999921
Eudicots,internal,0.846786218
Eudicots,internal,0.809588254
Eudicots,internal,0.786853972
Eudicots,terminal,0.757909341
Eudicots,internal,0.738069705
Eudicots,terminal,0.721718831
Eudicots,internal,0.71776639
Eudicots,terminal,0.713537494
Eudicots,terminal,0.592940069
Eudicots,internal,0.579031141
Eudicots,terminal,0.559981217
Eudicots,internal,0.536806217
Eudicots,internal,0.515208255
Eudicots,terminal,0.508983431
Eudicots,internal,0.467959649
Eudicots,terminal,0.432022629
Eudicots,terminal,0.430734125
