,condition,genes_num,Method,replicate,time_s,mem_gb
162,gtrees_10000_l1,500,FastME(AVG)-DISCO,3,63.5,0.486888
163,gtrees_10000_l1,1000,FastME(AVG)-DISCO,3,127.61999999999999,0.934224
164,gtrees_10000_l1,10000,FastME(AVG)-DISCO,3,1190.3500000000001,9.110972
165,gtrees_10000_l1,50,FastME(AVG)-DISCO,4,6.84,0.081924
166,gtrees_10000_l1,100,FastME(AVG)-DISCO,4,13.899999999999999,0.13128
167,gtrees_10000_l1,500,FastME(AVG)-DISCO,4,73.66000000000001,0.555712
168,gtrees_10000_l1,1000,FastME(AVG)-DISCO,4,145.77,1.071012
169,gtrees_10000_l1,10000,FastME(AVG)-DISCO,4,1255.1699999999998,9.873864
170,gtrees_10000_l1,50,FastME(AVG)-DISCO,5,5.970000000000001,0.081636
171,gtrees_10000_l1,100,FastME(AVG)-DISCO,5,11.33,0.10616
172,gtrees_10000_l1,500,FastME(AVG)-DISCO,5,54.36,0.392424
173,gtrees_10000_l1,1000,FastME(AVG)-DISCO,5,111.2,0.765536
174,gtrees_10000_l1,10000,FastME(AVG)-DISCO,5,1021.49,7.26158
175,gtrees_10000_l1,50,FastME(AVG)-DISCO,6,6.72,0.083148
176,gtrees_10000_l1,100,FastME(AVG)-DISCO,6,13.76,0.126804
177,gtrees_10000_l1,500,FastME(AVG)-DISCO,6,60.75,0.471944
178,gtrees_10000_l1,1000,FastME(AVG)-DISCO,6,118.99,0.873768
179,gtrees_10000_l1,10000,FastME(AVG)-DISCO,6,1127.8400000000001,8.594324
180,gtrees_10000_l1,50,FastME(AVG)-DISCO,7,7.25,0.087556
181,gtrees_10000_l1,100,FastME(AVG)-DISCO,7,15.25,0.139464
182,gtrees_10000_l1,500,FastME(AVG)-DISCO,7,68.94,0.515668
183,gtrees_10000_l1,1000,FastME(AVG)-DISCO,7,129.11,0.958492
184,gtrees_10000_l1,10000,FastME(AVG)-DISCO,7,1208.75,9.395048
185,gtrees_10000_l1,50,FastME(AVG)-DISCO,8,6.880000000000001,0.087052
186,gtrees_10000_l1,100,FastME(AVG)-DISCO,8,10.450000000000001,0.107288
187,gtrees_10000_l1,500,FastME(AVG)-DISCO,8,55.8,0.398144
188,gtrees_10000_l1,1000,FastME(AVG)-DISCO,8,109.72,0.816324
189,gtrees_10000_l1,10000,FastME(AVG)-DISCO,8,1132.3799999999999,8.514348
190,gtrees_10000_l1,50,FastME(AVG)-DISCO,9,8.5,0.101528
191,gtrees_10000_l1,100,FastME(AVG)-DISCO,9,14.49,0.13602
192,gtrees_10000_l1,500,FastME(AVG)-DISCO,9,63.92,0.466948
193,gtrees_10000_l1,1000,FastME(AVG)-DISCO,9,119.82,0.886532
194,gtrees_10000_l1,10000,FastME(AVG)-DISCO,9,1207.86,8.42336
195,gtrees_10000_l1,50,FastME(AVG)-DISCO,10,6.18,0.087056
196,gtrees_10000_l1,100,FastME(AVG)-DISCO,10,12.440000000000001,0.11404
197,gtrees_10000_l1,500,FastME(AVG)-DISCO,10,60.14,0.434364
198,gtrees_10000_l1,1000,FastME(AVG)-DISCO,10,119.59,0.874228
199,gtrees_10000_l1,10000,FastME(AVG)-DISCO,10,1249.98,8.653076
200,gtrees_10000_l1,50,CA-DISCO(RAxML),1,8.72,0.178832
201,gtrees_10000_l1,100,CA-DISCO(RAxML),1,17.86,0.370304
202,gtrees_10000_l1,500,CA-DISCO(RAxML),1,112.30000000000001,1.751668
203,gtrees_10000_l1,1000,CA-DISCO(RAxML),1,274.83,3.330884
204,gtrees_10000_l1,10000,CA-DISCO(RAxML),1,8098.9400000000005,29.62322
205,gtrees_10000_l1,50,CA-DISCO(RAxML),2,6.91,0.154052
206,gtrees_10000_l1,100,CA-DISCO(RAxML),2,15.809999999999999,0.295772
207,gtrees_10000_l1,500,CA-DISCO(RAxML),2,111.2,1.652768
208,gtrees_10000_l1,1000,CA-DISCO(RAxML),2,261.79,3.259456
209,gtrees_10000_l1,10000,CA-DISCO(RAxML),2,5866.6900000000005,28.192784
210,gtrees_10000_l1,50,CA-DISCO(RAxML),3,13.17,0.22464
211,gtrees_10000_l1,100,CA-DISCO(RAxML),3,24.84,0.431204
212,gtrees_10000_l1,500,CA-DISCO(RAxML),3,116.17,1.759832
213,gtrees_10000_l1,1000,CA-DISCO(RAxML),3,275.01,3.420272
214,gtrees_10000_l1,10000,CA-DISCO(RAxML),3,9856.0,30.94642
215,gtrees_10000_l1,50,CA-DISCO(RAxML),4,13.059999999999999,0.190812
216,gtrees_10000_l1,100,CA-DISCO(RAxML),4,27.520000000000003,0.366212
